,admin2Name,Name (merged),ADM2_PCODE,lat,lon,,,,,,,
745,"Castilla la Nueva, Meta",Castilla la Nueva,CO50150,3.8333333333333335,-73.68333333333334,,,,,,,
41,"Caucasia, Antioquia",Caucasia,CO05154,7.983333333333333,-75.2,,,,,,,
926,Cepitá,Cepitá,CO68160,6.75,-72.98333333333333,,,,,,,
509,Cereté,Cereté,CO23162,8.883333333333333,-75.8,,,,,,,
237,Cerinza,Cerinza,CO15162,6,-72.91666666666667,,,,,,,
927,"Cerrito, Santander",Cerrito,CO68162,6.845,-72.698,,,,,,,
715,Cerro San Antonio,Cerro de San Antonio,CO47161,10.333333333333334,-74.86666666666666,,,,,,,
483,Cértegui,Cértegui,CO27160,5.4,-76.6,,,,,,,
778,Chachagüí,Chachagüí,CO52240,1.3605,-77.2835,,,,,,,
550,Chaguaní,Chaguaní,CO25168,4.948611111111111,-74.5936111111111,,,,,,,
1002,Chalán,Chalán,CO70230,9.55,-75.31666666666666,,,,,,,
391,Chámeza,Chámeza,CO85015,5.216666666666667,-72.88333333333334,,,,,,,
1034,"Chaparral, Tolima",Chaparral,CO73168,3.75,-75.58333333333333,,,,,,,
165,Chapinero,Chapinero,NA,4.645833333333333,-74.06333333333333,,,,,,,
928,Charalá,Charalá,CO68167,6.25,-73.08333333333333,,,,,,,
929,Charta,Charta,CO68169,7.283333333333333,-72.96666666666667,,,,,,,
554,"Chía, Cundinamarca",Chía,CO25175,4.85,-74.05,,,,,,,
716,Chibolo,Chigorodó,CO05172,10.026111111111112,-74.6211111111111,,,,,,,
42,Chigorodó,Chima,CO68176,7.6675,-76.68083333333334,,,,,,,
510,Chimá,Chimá,CO23168,9.15,-75.63333333333334,,,,,,,
455,Chimichagua,Chimichagua,CO20175,9.25,-73.81666666666666,,,,,,,
840,Chinácota,Chinácota,CO54172,7.616666666666667,-72.6,,,,,,,
238,Chinavita,Chinavita,CO15172,5.166666666666667,-73.36722222222221,,,,,,,
351,"Chinchiná, Caldas",Chinchiná,CO17174,4.9825,-75.6036111111111,,,,,,,
511,Chinú,Chinú,CO23182,9.083333333333334,-75.33333333333333,,,,,,,
551,Chipaque,Chipaque,CO25178,4.4425,-74.04138888888889,,,,,,,
931,"Chipatá, Santander",Chipatá,CO68179,6.05,-73.63333333333334,,,,,,,
239,Chiquinquirá,Chiquinquirá,CO15176,5.633333333333333,-73.75,,,,,,,
240,Chíquiza,Chíquiza,CO15232,5.6,-73.48333333333333,,,,,,,
456,Chiriguaná,Chiriguaná,CO20178,9.366666666666667,-73.6,,,,,,,
242,"Chita, Boyacá",Chita,CO15183,6.166666666666667,-72.41666666666667,,,,,,,
841,Chitagá,Chitagá,CO54174,7.133333333333334,-72.66666666666667,,,,,,,
243,Chitaraque,Chitaraque,CO15185,6.083333333333333,-73.36666666666666,,,,,,,
244,Chivatá,Chivatá,CO15187,5.533333333333333,-73.26666666666667,,,,,,,
245,Chivor,Chivor,CO15236,4.883333333333333,-73.36666666666666,,,,,,,
552,Choachí,Choachí,CO25181,4.529722222222222,"-
73.92361111111111",,,,,,,
553,Chocontá,Chocontá,CO25183,5.146666666666667,-73.6825,,,,,,,
189,Cicuco,Cicuco,CO13188,9.266666666666667,-74.65,,,,,,,
512,Ciénaga de Oro,Ciénaga de Oro,CO23189,8.883333333333333,-75.61666666666666,,,,,,,
717,"Ciénaga, Magdalena",Ciénaga,CO47189,11.006944444444445,-74.25,,,,,,,
246,"Ciénega, Boyacá",Ciénega,CO15189,11.006944,-74.25,,,,,,,
932,Cimitarra,Cimitarra,CO68190,6.316666666666666,-73.95,,,,,,,
889,"Circasia, Quindío",Circasia,CO63190,4.616666666666667,-75.63333333333334,,,,,,,
43,"Cisneros, Antioquia",Cisneros,CO05190,6.538333333333333,-75.0886111111111,,,,,,,
28,"Ciudad Bolívar, Antioquia",Ciudad Bolívar,CO05101,5.85,-76.03333333333333,,,,,,,
44,Cocorná,Cocorná,CO05197,6.0569444444444445,-75.18527777777778,,,,,,,
1035,"Coello, Tolima",Coello,CO73200,4.333333333333333,-74.91666666666667,,,,,,,
555,Cogua,Cogua,CO25200,5.066666666666666,-73.98333333333333,,,,,,,
779,"Colón, Nariño",Colón,CO52203,1.6441666666666666,-77.01944444444445,,,,,,,
874,"Colón, Putumayo",Colón,CO86219,1.1902777777777778,-76.9738888888889,,,,,,,
1003,Colosó,Colosó,CO70204,9.5,-75.35,,,,,,,
253,Cómbita,Cómbita,CO15204,5.75,-73.25,,,,,,,
45,"Concepción, Antioquia",Concepción,CO05206,6.395,-75.25833333333334,,,,,,,
933,"Concepción, Santander",Concepción,CO68207,6.771111,-72.698056,,,,,,,
46,"Concordia, Antioquia",Concordia,CO05209,6.0489999999999995,-75.909,,,,,,,
718,"Concordia, Magdalena",Concordia,CO47205,10.2667,-74.8333,,,,,,,
484,Condoto,Condoto,CO27205,5.1,-76.65,,,,,,,
934,Confines,Confines,CO68209,6.416666666666667,-73.16666666666667,,,,,,,
780,Consaca,Consacá,CO52207,1.2,-77.46666666666667,,,,,,,
781,Contadero,Contadero,CO52210,0.91,-77.5506,,,,,,,
935,Contratación,Contratación,CO68211,6.283333333333333,-73.48333333333333,,,,,,,
842,Convención,Convención,CO54206,8.833333333333334,-73.2,,,,,,,
247,"Coper, Boyacá",Coper,CO15212,5.483333333333333,-74.05,,,,,,,
190,"Córdoba, Bolívar",Córdoba,CO13212,9.586667,-74.827222,,,,,,,
782,"Córdoba, Nariño",Córdoba,CO52215,0.855,-77.5211,,,,,,,
890,"Córdoba, Quindío",Córdoba,CO63212,4.391111,-75.687778,,,,,,,
417,"Corinto, Cauca",Corinto,CO19212,3.1738888888888885,-76.25944444444444,,,,,,,
936,Coromoro,Coromoro,CO68217,6.3,-73.03333333333333,,,,,,,
1004,"Corozal, Sucre",Corozal,CO70215,9.333333333333334,-75.25,,,,,,,
248,"Corrales, Boyacá",Corrales,CO15215,5.866666666666667,-72.83333333333333,,,,,,,
556,"Cota, Cundinamarca",Cota,CO25214,4.816666666666666,-74.1,,,,,,,
513,Cotorra,Cotorra,CO23300,9.05,-75.8,,,,,,,
249,Covarachía,Covarachía,CO15218,6.5,-72.75,,,,,,,
1005,Coveñas,Coveñas,CO70221,9.41667,-75.7,,,,,,,
1036,Coyaima,Coyaima,CO73217,3.8333333333333335,-75.08333333333333,,,,,,,
135,Cravo Norte,Cravo Norte,CO81220,6.3,-70.2,,,,,,,
783,Cuaspud,Cuaspud Carlosama,CO52224,0.865833,-77.7294,,,,,,,
250,Cubará,Cubará,CO15223,7.033333333333333,-72.06666666666666,,,,,,,
746,Cubarral,Cubarral,CO50223,3.791863888888889,-73.84128333333332,,,,,,,
251,Cucaita,Cucaita,CO15224,5.533333333333333,-73.45,,,,,,,
557,Cucunubá,Cucunubá,CO25224,5.25,-73.76333333333334,,,,,,,
843,Cúcuta,San José de Cúcuta,CO54001,7.894166666666666,-72.5038888888889,,,,,,,
844,Cucutilla,Cucutilla,CO54223,7.55,-72.78333333333333,,,,,,,
747,Cuítiva,Cuítiva,CO15226,5.583333,-72.966667,,,,,,,
1121,Cumaral,Cumaral,CO50226,4.269444444444445,-73.4863888888889,,,,,,,
784,Cumaribo,Cumaribo,CO99773,4.433333333333334,-69.8,,,,,,,
785,Cumbal,Cumbal,CO52227,0.9077777777777778,-77.79083333333332,,,,,,,
1037,Cumbitara,Cumbitara,CO52233,1.67694,-77.3253,,,,,,,
377,Cunday,Cunday,CO73226,4.083333333333333,-74.66666666666667,,,,,,,
937,Curillo,Curillo,CO18205,1.0333333333333334,-75.91666666666667,,,,,,,
458,Curití,Curití,CO68229,6.666666666666667,-73,,,,,,,
48,Curumaní,Curumaní,CO20228,9.2,-73.55,,,,,,,
1084,Dabeiba,Dabeiba,CO05234,7,-76.25,,,,,,,
652,Dagua,Dagua,CO76233,3.6666666666666665,-76.7,,,,,,,
653,"Dibulla, La Guajira",Dibulla,CO44090,11.266666666666667,-73.3,,,,,,,
1038,"Distracción, La Guajira",Distracción,CO44098,10.9,-72.88333333333334,,,,,,,
49,"Dolores, Tolima",Dolores,CO73236,3.6666666666666665,-74.75,,,,,,,
901,Don Matías,Donmatías,CO05237,6.483333333333333,-75.43333333333334,,,,,,,
254,Dosquebradas,Dosquebradas,CO66170,4.833333333333333,-75.68333333333334,,,,,,,
845,Duitama,Duitama,CO15238,"
5.833333333333333",-73.01666666666667,,,,,,,
50,Durania,Durania,CO54239,7.71722,-72.66,,,,,,,
51,Ebéjico,Ebéjico,CO05240,6.333333333333333,-75.76666666666667,,,,,,,
1086,El Bagre,El Bagre,CO05250,7.594169444444444,-74.8119,,,,,,,
748,El Cairo,El Cairo,CO76246,4.75,-76.25,,,,,,,
485,El Calvario,El Calvario,CO50245,4.416666666666667,-73.66666666666667,,,,,,,
486,El Cantón de San Pablo,El Cantón del San Pablo,CO27135,5.333333333333333,-76.73333333333333,,,,,,,
191,El Carmen de Atrato,El Carmen de Atrato,CO27245,5.88778,-75.1642,,,,,,,
39,El Carmen de Bolívar,El Carmen de Bolívar,CO13244,9.716666666666667,-75.13333333333334,,,,,,,
487,El Carmen de Viboral,El Carmen de Viboral,CO05148,6.083333333333333,-75.33333333333333,,,,,,,
846,El Carmen del Darién,El Carmen del Darién,NA,,,,,,,,,
749,"El Carmen, Norte de Santander",El Carmen,NA,8.51278,-73.4508,,,,,,,
1087,"El Castillo, Meta",El Castillo,CO50251,3.56806,-73.7839,,,,,,,
786,"El Cerrito, Valle del Cauca",El Cerrito,CO76248,3.6666666666666665,-76.16666666666667,,,,,,,
255,El Charco,El Charco,CO52250,2.4775,-78.1111111111111,,,,,,,
558,El Cocuy,El Cocuy,CO15244,6.416666666666667,-72.41666666666667,,,,,,,
459,El Colegio,El Colegio,CO25245,4.5808333333333335,-74.44250000000001,,,,,,,
378,El Copey,El Copey,CO20238,10.15,-73.96666666666667,,,,,,,
750,El Doncello,El Doncello,CO18247,1.6833333333333333,-75.28333333333333,,,,,,,
1088,"El Dorado, Meta",El Dorado,CO50270,3.74167,-73.8389,,,,,,,
1,El Dovio,El Dovio,CO76250,4.516666666666667,-76.23333333333333,,,,,,,
1039,El Encanto,El Encanto,CO91263,-1.7788888888888887,-73.21055555555556,,,,,,,
256,"El Espinal, Tolima",El Espinal,CO73268,4.2,-74.83333333333333,,,,,,,
939,"El Espino, Boyacá",El Espino,CO15248,6.583333333333333,-72.41666666666667,,,,,,,
192,El Guacamayo,El Guacamayo,CO68245,6.333333333333333,-73.46666666666667,,,,,,,
654,El Guamo,El Guamo,CO13248,10.083333333333334,-74.91666666666667,,,,,,,
460,"El Molino, La Guajira",El Litoral del San Juan,CO27250,10.6533,-72.9242,,,,,,,
379,"El Paso, Cesar",El Molino,CO44110,9.66222,-73.7519,,,,,,,
84,El Paujil,El Paso,CO20250,1.56444,-75.3319,,,,,,,
787,"El Peñol, Antioquia",El Paujíl,CO18256,6.2186111111111115,-75.24333333333334,,,,,,,
193,"El Peñol, Nariño",El Peñol,CO52254,1.453611,-77.439722,,,,,,,
559,"El Peñón, Bolívar",El Peñón,CO13268,8.988333333333333,-73.94944444444445,,,,,,,
940,"El Peñón, Cundinamarca",El Peñón,CO25258,5.251666666666667,-74.28611111111111,,,,,,,
720,"El Peñón, Santander",El Peñón,CO68250,5.89222,-73.7403,,,,,,,
941,El Piñón,El Piñón,CO47258,10.333333333333334,-74.66666666666667,,,,,,,
721,"El Playón, Santander",El Playón,CO68255,7.47667,-73.2081,,,,,,,
673,El Retén,El Retén,CO47268,10.6167,-74.2667,,,,,,,
1006,El Retorno,El Retorno,CO95025,2.33056,-72.6278,,,,,,,
560,"El Roble, Sucre",El Roble,CO70233,9.1,-75.2,,,,,,,
788,"El Rosal, Cundinamarca",El Rosal,CO25260,4.851944444444444,-74.26277777777777,,,,,,,
111,"El Rosario, Nariño",El Rosario,CO52256,1.7430555555555556,-77.33472222222221,,,,,,,
789,El Santuario,El Santuario,CO05697,6.1375,-75.263889,,,,,,,
418,El Tablón,El Tablón de Gómez,CO52258,1.4269444444444446,-77.09694444444445,,,,,,,
790,"El Tambo, Cauca",El Tambo,CO19256,2.45417,-76.8178,,,,,,,
847,"El Tambo, Nariño",El Tambo,CO52260,1.41306,-77.3981,,,,,,,
848,El Tarra,El Tarra,CO54250,8.0475,-73.0836,,,,,,,
